BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
58,1200,1,1.658594
58,1200,2,1.222410
58,1200,3,1.655729
58,1200,4,0.483075
58,1200,5,0.476303
58,1200,6,0.754572
58,1400,1,0.608203
58,1400,2,0.341855
58,1400,3,1.212207
58,1400,4,0.456731
58,1400,5,0.608310
58,1400,6,0.759309
58,1600,1,1.202415
58,1600,2,0.342447
58,1600,3,1.214633
58,1600,4,1.214381
58,1600,5,1.199367
58,1600,6,1.215325
58,1800,1,1.203200
58,1800,2,0.485806
58,1800,3,1.663479
58,1800,4,0.301987
58,1800,5,0.184336
58,1800,6,0.658661
58,2000,1,0.423916
58,2000,2,0.594531
58,2000,3,0.095681
58,2000,4,0.485745
58,2000,5,0.572664
58,2000,6,0.629334
58,2200,1,0.548539
58,2200,2,0.485343
58,2200,3,0.760958
58,2200,4,0.672305
58,2200,5,0.593821
58,2200,6,0.251203
58,2400,1,0.430722
58,2400,2,0.361141
58,2400,3,0.762031
58,2400,4,0.282016
58,2400,5,0.133635
58,2400,6,0.610957
58,2600,1,0.300253
58,2600,2,0.557930
58,2600,3,0.244910
58,2600,4,0.528275
58,2600,5,0.402230
58,2600,6,0.200978
58,2800,1,0.515115
58,2800,2,0.475496
58,2800,3,0.561901
58,2800,4,0.599994
58,2800,5,0.847318
58,2800,6,0.502959
58,3000,1,0.599465
58,3000,2,0.250598
58,3000,3,0.229938
58,3000,4,0.359815
58,3000,5,0.603546
58,3000,6,0.304016
58,3200,1,0.328575
58,3200,2,0.469111
58,3200,3,0.534845
58,3200,4,0.582361
58,3200,5,0.203725
58,3200,6,0.473920
58,3400,1,0.452299
58,3400,2,0.108993
58,3400,3,0.701922
58,3400,4,0.457338
58,3400,5,0.235639
58,3400,6,0.300969
58,3600,1,0.437982
58,3600,2,0.626604
58,3600,3,0.299449
58,3600,4,0.264924
58,3600,5,0.679255
58,3600,6,0.172333
58,3800,1,0.379771
58,3800,2,0.591279
58,3800,3,0.267017
58,3800,4,0.512389
58,3800,5,0.479330
58,3800,6,0.236502
58,4000,1,0.229252
58,4000,2,0.323738
58,4000,3,0.206750
58,4000,4,0.251907
58,4000,5,0.229201
58,4000,6,0.391112
58,4200,1,0.348505
58,4200,2,0.237632
58,4200,3,0.566051
58,4200,4,0.539807
58,4200,5,0.548320
58,4200,6,0.373419
58,4400,1,0.148751
58,4400,2,0.238545
58,4400,3,0.550751
58,4400,4,0.173412
58,4400,5,0.191920
58,4400,6,0.201487
58,4600,1,0.581957
58,4600,2,0.328561
58,4600,3,0.679431
58,4600,4,0.512407
58,4600,5,0.535159
58,4600,6,0.391952
58,4800,1,0.256991
58,4800,2,0.595484
58,4800,3,0.522170
58,4800,4,0.316388
58,4800,5,0.296905
58,4800,6,0.284738
58,5000,1,0.166403
58,5000,2,0.544611
58,5000,3,0.543464
58,5000,4,0.299895
58,5000,5,0.507658
58,5000,6,0.225365
58,5200,1,0.410451
58,5200,2,0.591961
58,5200,3,0.212125
58,5200,4,0.607590
58,5200,5,0.421630
58,5200,6,0.689826
58,5400,1,0.534744
58,5400,2,0.249032
58,5400,3,0.203057
58,5400,4,0.416387
58,5400,5,0.430290
58,5400,6,0.235014
58,5600,1,0.231195
58,5600,2,0.426056
58,5600,3,0.308404
58,5600,4,0.498628
58,5600,5,0.568990
58,5600,6,0.537463
58,5800,1,0.657647
58,5800,2,0.470087
58,5800,3,0.618367
58,5800,4,0.297083
58,5800,5,0.394146
58,5800,6,0.516442
58,6000,1,0.168260
58,6000,2,0.584509
58,6000,3,0.358301
58,6000,4,0.386121
58,6000,5,0.246163
58,6000,6,0.591589
58,6200,1,0.240381
58,6200,2,0.342183
58,6200,3,0.523223
58,6200,4,0.227798
58,6200,5,0.498738
58,6200,6,0.586661
58,6400,1,0.672664
58,6400,2,0.463439
58,6400,3,0.259322
58,6400,4,0.472671
58,6400,5,0.343900
58,6400,6,0.401829
58,6600,1,0.770642
58,6600,2,0.483324
58,6600,3,0.517760
58,6600,4,0.095863
58,6600,5,0.454332
58,6600,6,0.510833
58,6800,1,0.284542
58,6800,2,0.411805
58,6800,3,0.231570
58,6800,4,0.230977
58,6800,5,0.642111
58,6800,6,0.501304
58,7000,1,0.174053
58,7000,2,0.586272
58,7000,3,0.261945
58,7000,4,0.462052
58,7000,5,0.439577
58,7000,6,0.260019
58,7200,1,0.578698
58,7200,2,0.311099
58,7200,3,0.815316
58,7200,4,0.428176
58,7200,5,0.540682
58,7200,6,0.323052
58,7400,1,0.523124
58,7400,2,0.599894
58,7400,3,0.585405
58,7400,4,0.425491
58,7400,5,0.527419
58,7400,6,0.519630
58,7600,1,0.229986
58,7600,2,0.702102
58,7600,3,0.477341
58,7600,4,0.304444
58,7600,5,0.571819
58,7600,6,0.431077
58,7800,1,0.464409
58,7800,2,0.799133
58,7800,3,0.317450
58,7800,4,0.479301
58,7800,5,0.203406
58,7800,6,0.561933
58,8000,1,0.265259
58,8000,2,0.297825
58,8000,3,0.525609
58,8000,4,0.353904
58,8000,5,0.270241
58,8000,6,0.465027
58,8200,1,0.242526
58,8200,2,0.518933
58,8200,3,0.198328
58,8200,4,0.221110
58,8200,5,0.222137
58,8200,6,0.283304
58,8400,1,0.266563
58,8400,2,0.147565
58,8400,3,0.461936
58,8400,4,0.640230
58,8400,5,0.550079
58,8400,6,0.120689
58,8600,1,0.568706
58,8600,2,0.590477
58,8600,3,0.514143
58,8600,4,0.613169
58,8600,5,0.501271
58,8600,6,0.295842
58,8800,1,0.216358
58,8800,2,0.208995
58,8800,3,0.305763
58,8800,4,0.126399
58,8800,5,0.486637
58,8800,6,0.157842
58,9000,1,0.499896
58,9000,2,0.226931
58,9000,3,0.190262
58,9000,4,0.486749
58,9000,5,0.383353
58,9000,6,0.560252
58,9200,1,0.481761
58,9200,2,0.542644
58,9200,3,0.581834
58,9200,4,0.405120
58,9200,5,0.473165
58,9200,6,0.179135
58,9400,1,0.391825
58,9400,2,0.513479
58,9400,3,0.223002
58,9400,4,0.238360
58,9400,5,0.265124
58,9400,6,0.384156
58,9600,1,0.527214
58,9600,2,0.164587
58,9600,3,0.611328
58,9600,4,0.673006
58,9600,5,0.645470
58,9600,6,0.515993
58,9800,1,0.501223
58,9800,2,0.372821
58,9800,3,0.391841
58,9800,4,0.547515
58,9800,5,0.212519
58,9800,6,0.518600
58,10000,1,0.133931
58,10000,2,0.729907
58,10000,3,0.304886
58,10000,4,0.280890
58,10000,5,0.278518
58,10000,6,0.282060
62,1000,1,1.208723
62,1000,2,1.654591
62,1000,3,1.655593
62,1000,4,1.210894
62,1000,5,1.657227
62,1000,6,1.655140
62,1200,1,1.655605
62,1200,2,1.198247
62,1200,3,1.656284
62,1200,4,1.196054
62,1200,5,1.661531
62,1200,6,1.658049
62,1400,1,0.760023
62,1400,2,1.214349
62,1400,3,1.661787
62,1400,4,0.172776
